state,rank,indicator,total,legend_name
Sikkim,1,100,0.73,HT Women Empowerment Index
Meghalaya,2,100,0.62,HT Women Empowerment Index
Goa,3,100,0.60,HT Women Empowerment Index
Lakshadweep,4,100,0.58,HT Women Empowerment Index
Chandigarh,5,100,0.58,HT Women Empowerment Index
Kerala,6,100,0.57,HT Women Empowerment Index
Manipur,7,100,0.55,HT Women Empowerment Index
Mizoram,8,100,0.53,HT Women Empowerment Index
Himachal Pradesh,9,100,0.49,HT Women Empowerment Index
Tamil Nadu,10,100,0.48,HT Women Empowerment Index
Puducherry,11,100,0.47,HT Women Empowerment Index
Nagaland,12,100,0.47,HT Women Empowerment Index
Andaman & Nicobar Islands,13,100,0.46,HT Women Empowerment Index
Arunachal Pradesh,14,100,0.46,HT Women Empowerment Index
Telangana,15,100,0.45,HT Women Empowerment Index
Punjab,16,100,0.42,HT Women Empowerment Index
Tripura,17,100,0.40,HT Women Empowerment Index
Andhra Pradesh,18,100,0.40,HT Women Empowerment Index
Uttarakhand,19,100,0.39,HT Women Empowerment Index
Karnataka,20,100,0.39,HT Women Empowerment Index
Delhi,21,100,0.38,HT Women Empowerment Index
Daman & Diu,22,100,0.37,HT Women Empowerment Index
Jammu & Kashmir,23,100,0.37,HT Women Empowerment Index
Maharashtra,24,100,0.36,HT Women Empowerment Index
Gujarat,25,100,0.35,HT Women Empowerment Index
Odisha,26,100,0.33,HT Women Empowerment Index
Assam,27,100,0.31,HT Women Empowerment Index
Chhattisgarh,28,100,0.31,HT Women Empowerment Index
Jharkhand,29,100,0.30,HT Women Empowerment Index
Haryana,30,100,0.28,HT Women Empowerment Index
Rajasthan,31,100,0.28,HT Women Empowerment Index
West Bengal,32,100,0.27,HT Women Empowerment Index
Madhya Pradesh,33,100,0.23,HT Women Empowerment Index
Uttar Pradesh,34,100,0.23,HT Women Empowerment Index
Dadra & Nagar Haveli,35,100,0.17,HT Women Empowerment Index
Bihar,36,100,0.14,HT Women Empowerment Index
