state,indicator,legend_name,urban,rural,total,rank
Nagaland,101,Currently married women who usually participate in household decisions (%),97.7,97.2,97.4,1
Chandigarh,101,Currently married women who usually participate in household decisions (%),NA,NA,96.6,2
Manipur,101,Currently married women who usually participate in household decisions (%),96.4,96,96.2,3
Mizoram,101,Currently married women who usually participate in household decisions (%),96.3,95.6,96,4
Sikkim,101,Currently married women who usually participate in household decisions (%),95.7,95,95.3,5
Goa,101,Currently married women who usually participate in household decisions (%),94.5,92.6,93.8,6
Andaman & Nicobar Islands,101,Currently married women who usually participate in household decisions (%),90.4,94.2,92.6,7
Kerala,101,Currently married women who usually participate in household decisions (%),91.7,92.4,92.1,8
Tripura,101,Currently married women who usually participate in household decisions (%),96.7,89.7,91.7,9
Meghalaya,101,Currently married women who usually participate in household decisions (%),93.1,91.1,91.4,10
Himachal Pradesh,101,Currently married women who usually participate in household decisions (%),96.4,90,90.8,11
Chhattisgarh,101,Currently married women who usually participate in household decisions (%),92.4,89.9,90.5,12
Punjab,101,Currently married women who usually participate in household decisions (%),89.6,90.5,90.2,13
West Bengal,101,Currently married women who usually participate in household decisions (%),92.1,89,89.9,14
Uttarakhand,101,Currently married women who usually participate in household decisions (%),92.6,88.2,89.8,15
Maharashtra,101,Currently married women who usually participate in household decisions (%),89.3,89.4,89.3,16
Arunachal Pradesh,101,Currently married women who usually participate in household decisions (%),89.7,89,89.1,17
Assam,101,Currently married women who usually participate in household decisions (%),93.7,86.2,87.4,18
Daman & Diu,101,Currently married women who usually participate in household decisions (%),83.7,94.2,86.7,19
Jharkhand,101,Currently married women who usually participate in household decisions (%),86.2,86.7,86.6,20
Gujarat,101,Currently married women who usually participate in household decisions (%),86.9,84.2,85.4,21
Puducherry,101,Currently married women who usually participate in household decisions (%),90,74.2,85.1,22
Jammu & Kashmir,101,Currently married women who usually participate in household decisions (%),87.5,82.5,84,23
Tamil Nadu,101,Currently married women who usually participate in household decisions (%),83.3,84.7,84,24
Madhya Pradesh,101,Currently married women who usually participate in household decisions (%),87.7,80.8,82.8,25
Odisha,101,Currently married women who usually participate in household decisions (%),84.6,81.1,81.8,26
Rajasthan,101,Currently married women who usually participate in household decisions (%),86.5,80.1,81.7,27
Uttar Pradesh,101,Currently married women who usually participate in household decisions (%),85.5,80.3,81.7,28
Telangana,101,Currently married women who usually participate in household decisions (%),82.1,80.3,81.1,29
Karnataka,101,Currently married women who usually participate in household decisions (%),83.5,78,80.4,30
Lakshadweep,101,Currently married women who usually participate in household decisions (%),80.1,NA,80.4,31
Andhra Pradesh,101,Currently married women who usually participate in household decisions (%),78.8,80.4,79.9,32
Dadra & Nagar Haveli,101,Currently married women who usually participate in household decisions (%),79.4,77.7,78.5,33
Haryana,101,Currently married women who usually participate in household decisions (%),77,76.4,76.7,34
Bihar,101,Currently married women who usually participate in household decisions (%),77.6,74.8,75.2,35
Delhi,101,Currently married women who usually participate in household decisions (%),74.1,NA,73.8,36
