state,indicator,legend_name,urban,rural,total,rank
Sikkim,103,Ever-married women who have ever experienced spousal violence (%),0.4,4.2,2.6,1
Himachal Pradesh,103,Ever-married women who have ever experienced spousal violence (%),10.6,5.2,5.9,2
Lakshadweep,103,Ever-married women who have ever experienced spousal violence (%),5.5,NA,6,3
Jammu & Kashmir,103,Ever-married women who have ever experienced spousal violence (%),6.7,10.6,9.4,4
Nagaland,103,Ever-married women who have ever experienced spousal violence (%),11.3,13.6,12.7,5
Uttarakhand,103,Ever-married women who have ever experienced spousal violence (%),12.1,13.1,12.7,6
Goa,103,Ever-married women who have ever experienced spousal violence (%),15.3,8.7,12.9,7
Kerala,103,Ever-married women who have ever experienced spousal violence (%),13.7,14.8,14.3,8
Mizoram,103,Ever-married women who have ever experienced spousal violence (%),16.7,17.6,17,9
Andaman & Nicobar Islands,103,Ever-married women who have ever experienced spousal violence (%),19.4,17.4,18.3,10
Gujarat,103,Ever-married women who have ever experienced spousal violence (%),14.1,24.8,20.1,11
Karnataka,103,Ever-married women who have ever experienced spousal violence (%),20.6,20.4,20.5,12
Punjab,103,Ever-married women who have ever experienced spousal violence (%),19.7,20.9,20.5,13
Maharashtra,103,Ever-married women who have ever experienced spousal violence (%),16.4,26.2,21.4,14
Chandigarh,103,Ever-married women who have ever experienced spousal violence (%),NA,NA,22.5,15
Assam,103,Ever-married women who have ever experienced spousal violence (%),15.9,26.2,24.5,16
Rajasthan,103,Ever-married women who have ever experienced spousal violence (%),22,26.2,25.1,17
Daman & Diu,103,Ever-married women who have ever experienced spousal violence (%),34.6,7.4,26.6,18
Delhi,103,Ever-married women who have ever experienced spousal violence (%),27.1,NA,26.8,19
Tripura,103,Ever-married women who have ever experienced spousal violence (%),16.7,32.4,27.9,20
Meghalaya,103,Ever-married women who have ever experienced spousal violence (%),22,30.4,28.7,21
Arunachal Pradesh,103,Ever-married women who have ever experienced spousal violence (%),28.3,31.4,30.6,22
Haryana,103,Ever-married women who have ever experienced spousal violence (%),25.1,37.1,32,23
West Bengal,103,Ever-married women who have ever experienced spousal violence (%),23.7,36.9,32.8,24
Madhya Pradesh,103,Ever-married women who have ever experienced spousal violence (%),27.3,35.4,33,25
Dadra & Nagar Haveli,103,Ever-married women who have ever experienced spousal violence (%),12.5,50.8,33.2,26
Jharkhand,103,Ever-married women who have ever experienced spousal violence (%),19.7,38.8,34,27
Puducherry,103,Ever-married women who have ever experienced spousal violence (%),33.3,37.5,34.5,28
Odisha,103,Ever-married women who have ever experienced spousal violence (%),24.8,37.9,35.2,29
Chhattisgarh,103,Ever-married women who have ever experienced spousal violence (%),35.4,37.1,36.7,30
Uttar Pradesh,103,Ever-married women who have ever experienced spousal violence (%),29.6,39.3,36.7,31
Tamil Nadu,103,Ever-married women who have ever experienced spousal violence (%),37.2,44.2,40.6,32
Telangana,103,Ever-married women who have ever experienced spousal violence (%),36.9,47.6,43,33
Andhra Pradesh,103,Ever-married women who have ever experienced spousal violence (%),42.4,43.6,43.2,34
Bihar,103,Ever-married women who have ever experienced spousal violence (%),40.2,43.7,43.2,35
Manipur,103,Ever-married women who have ever experienced spousal violence (%),48.1,56.1,53.1,36
