state,display_name,indicator,name,val_2005,val_2015,show
Bihar,Bihar,103,Ever-married women who have ever experienced spousal violence (%),59,43.2,yes
Rajasthan,Rajasthan,103,Ever-married women who have ever experienced spousal violence (%),46.3,25.1,yes
Manipur,Manipur,103,Ever-married women who have ever experienced spousal violence (%),43.8,53.1,yes
Uttar Pradesh,UP,103,Ever-married women who have ever experienced spousal violence (%),42.3,36.7,yes
Assam,Assam,103,Ever-married women who have ever experienced spousal violence (%),39.4,24.5,yes
Maharashtra,Maharashtra,103,Ever-married women who have ever experienced spousal violence (%),30.7,21.4,yes
Delhi,Delhi,103,Ever-married women who have ever experienced spousal violence (%),16.3,26.8,yes
Meghalaya,Meghalaya,103,Ever-married women who have ever experienced spousal violence (%),12.8,28.7,yes
Madhya Pradesh,MP,103,Ever-married women who have ever experienced spousal violence (%),45.7,33,no
Tripura,Tripura,103,Ever-married women who have ever experienced spousal violence (%),44.1,27.9,no
Tamil Nadu,Tamil Nadu,103,Ever-married women who have ever experienced spousal violence (%),41.9,40.6,no
West Bengal,West Bengal,103,Ever-married women who have ever experienced spousal violence (%),40.1,32.8,no
Arunachal Pradesh,Arunachal,103,Ever-married women who have ever experienced spousal violence (%),38.8,30.6,no
Odisha,Odisha,103,Ever-married women who have ever experienced spousal violence (%),38.4,35.2,no
Jharkhand,Jharkhand,103,Ever-married women who have ever experienced spousal violence (%),36.9,34,no
Chhattisgarh,Chhattisgarh,103,Ever-married women who have ever experienced spousal violence (%),29.9,36.7,no
Uttarakhand,Uttarakhand,103,Ever-married women who have ever experienced spousal violence (%),27.8,12.7,no
Gujarat,Gujarat,103,Ever-married women who have ever experienced spousal violence (%),27.5,20.1,no
Haryana,Haryana,103,Ever-married women who have ever experienced spousal violence (%),27.3,32,no
Punjab,Punjab,103,Ever-married women who have ever experienced spousal violence (%),25.4,20.5,no
Mizoram,Mizoram,103,Ever-married women who have ever experienced spousal violence (%),22.1,17,no
Karnataka,Karnataka,103,Ever-married women who have ever experienced spousal violence (%),20,20.5,no
Goa,Goa,103,Ever-married women who have ever experienced spousal violence (%),16.8,12.9,no
Kerala,Kerala,103,Ever-married women who have ever experienced spousal violence (%),16.4,14.3,no
Sikkim,Sikkim,103,Ever-married women who have ever experienced spousal violence (%),16.3,2.6,no
Nagaland,Nagaland,103,Ever-married women who have ever experienced spousal violence (%),15.2,12.7,no
Jammu and Kashmir,J&K,103,Ever-married women who have ever experienced spousal violence (%),12.6,9.4,no
Himachal Pradesh,Himachal,103,Ever-married women who have ever experienced spousal violence (%),6.2,5.9,no
